Chemical,OriginalLogS,deltaD,deltaP,deltaH,Density,LogKow,RI,DHfus,Ar-sp3,CSA
ABA,0.679518744,17.8,2.76,5.25,1.03,5.1,1.528,43.03,-15,287.171
ABPhY,1.812512284,19.73,3.88,6.6,1.081,3.17,1.624,26.3,12,177.684
ACD,1.538070787,20.77,4.53,5.11,1.153,3.43,1.656,19.37,14,178.855
AM2,1.412460547,19.72,4.89,9.48,1.084,3.18,1.63,28.04,9,202.338
AM3,2.10754913,19.99,7.04,14.32,1.066,0.27,1.631,18.51,5,139.477
AM4,1.534280005,20.26,6.29,7.43,1.148,3.15,1.634,12.95,12,170.055
AM5,0.435685138,19.91,5.21,6.26,1.107,3.96,1.618,10.4,10,196.777
AM6,2.104145551,19.74,9.06,9.47,1.202,1.83,1.604,18.67,5,147.655
ANPhT,-0.023650021,19.59,1.42,4.69,1.086,4.37,1.543,22.09,8,161.032
ATC,-0.083019953,20.35,1.35,4.76,1.068,4.59,1.561,23.27,14,183.383
BAH,2.037824751,18.62,6.92,6.2,1.2,2.23,1.564,23.12,12,209.08
BBA,2.149834697,19.99,7.32,7.7,1.279,2.94,1.618,26.9,12,196.51
BDC,-0.705533774,20.22,8.78,11.34,1.219,2.27,1.734,49.59,11,293.484
BPhY,0.157758886,18.98,2.13,3.15,1.016,3.65,1.588,15.69,12,165.864
BrAPh,1.086003706,19.34,7.85,5.36,1.498,1.93,1.586,14.43,5,153.675
BZL,1.014520539,19.84,8.33,4.17,1.189,2.48,1.612,21.8,12,198.446
BZPh,1.799271608,19.42,5.43,3.77,1.109,2.98,1.601,18.75,12,184.117
CAP,1.925827575,18.2,12.05,7.98,1.051,3.94,1.552,47.21,-3,331.473
CBZ,2.068927612,20.92,8.06,4.47,1.26,1.27,1.659,29.55,12,219.439
CRB,0.360214613,20.66,6.15,5.48,1.209,3.45,1.667,21.42,13,145.352
CRC,-0.344861565,20.23,7.52,12.93,1.269,0.19,1.836,52.42,10,334.153
CRT,-1.619788758,17.74,0.83,1.9,0.93,10.48,1.629,131.17,-18,663.674
DCFR,1.053462605,21.85,6.47,8.06,1.527,7.06,1.625,22.76,17,295.546
DDG,-0.217527376,17.83,5.66,3.97,1.072,6.27,1.549,63.64,-6,369.932
DHNA,1.277609214,20.43,4.95,13.83,1.149,2.16,1.58,28.22,10,156.485
DPD,0.900803935,20.45,15.67,10.16,1.324,-2.62,1.545,51.91,-8,504.358
DtbC,0.663795122,16.47,0.86,4.54,0.901,5.36,1.513,19.82,-3,242.093
FBP,1.506775537,18.78,4.51,8.2,1.186,4.13,1.564,26.35,10,226.835
FRS,1.794418331,20.41,13.95,12.77,1.611,2.26,1.654,45.51,10,256.677
G4,1.351409752,18.14,4.92,7.14,1.15,2.49,1.539,25.74,2,255.952
GBC,-1.036212173,20.57,16.75,9.18,1.359,2.99,1.568,65.7,3,477.692
HPR,1.002166062,19.47,7.2,6.89,1.222,4.08,1.567,44.88,4,335.071
IDM,0.921113974,20.69,6.49,6.83,1.296,4.49,1.605,43.27,12,298.891
LCP,-1.420216403,17.68,0.28,5.05,0.894,15.14,1.57,27.42,-14,688.517
MeY,-0.493494968,19.62,4.39,4.87,1.092,4.61,1.613,6.1,10,234.415
MFA,0.236537261,19.91,5.27,9.23,1.203,4.14,1.625,25.64,10,230.09
NAPh,-0.08249449,19.7,3.06,5.45,1.025,3.34,1.63,14.42,10,141.691
NCD,0.04453976,21.69,13.42,10.67,1.534,3.81,1.653,44.4,12,249.684
NFQ,2.160468531,20.46,13.29,6.11,1.318,2.18,1.639,27.94,6,150.562
NIF,1.281033367,18.5,5.63,7.39,1.229,1.95,1.555,35.07,1,292.229
NMS,0.984527313,20.57,14.19,9.21,1.421,2.75,1.636,23.93,11,256.343
NPhL,2.107888025,20.4,5.37,10.19,1.141,2.71,1.654,16.67,10,148.391
NXA,1.669688708,19.69,14.25,11.73,1.35,1.32,1.665,31.08,7,216.454
OIV,-1.236572006,21.13,4.04,4.47,1.157,8.12,1.6,22.35,20,361.195
oPhPh,1.816506437,19.55,4.12,7.96,1.107,3.58,1.611,18.49,12,171.399
PBC,1.586362223,17.84,11.61,8.71,1.204,3.09,1.535,40.89,0,267.915
PhAzPh,1.522965595,20.26,6.36,8.67,1.171,3.41,1.619,12.95,12,195.177
PhTR,-0.400116928,20.35,1.35,4.76,1.068,4.59,1.561,23.27,14,181.619
ppBPh,1.740362689,20.68,6.58,13.46,1.195,2.64,1.648,29.78,12,180.664
PRL,-0.860120914,20.86,0.12,4.82,1.167,6.61,1.595,37.25,20,231.899
PTZ,0.261976191,20.82,7.28,7,1.285,4.15,1.68,25.7,12,180.721
PYR,-1.387216143,22.28,4.64,5.62,1.263,5.05,1.734,17.36,16,194.228
QRC,0.385248682,21.02,10.6,13.73,1.375,1.03,1.631,42.16,16,241.44
QZB,-0.91721463,21.35,10.47,9.29,1.381,5.05,1.657,48.34,17,282.268
QZGSS,-1.537602002,21.5,8.95,6.23,1.347,6.55,1.693,51.47,22,369.914
RSA,2.096910013,20.43,6.61,10.98,1.199,3.68,1.586,43.37,12,267.334
S4,1.281941933,18.12,4.93,7.51,1.179,2.02,1.545,27.86,1,276.061
SUBB,-1.455931956,21.92,7.35,5.16,1.28,9.63,1.619,32.77,23,410.77
SUI,-1.180456064,20.65,3.87,7.83,1.154,4.73,1.591,21.61,16,229.154
SUII,-2,20.79,3.5,7.49,1.169,5.34,1.65,23.1,14,263.084
SUIV,-0.319664487,21.53,3.33,5.69,1.211,7.53,1.65,16.87,20,348.708
SUR,-1.698970004,20.87,4.73,8.13,1.206,4.57,1.622,22.38,15,254.393
TBZ,-0.73754891,22.11,8.56,5.42,1.558,5.46,1.684,48.8,14,277.888
TCPh,-2,16.86,1.53,3.59,0.928,11.06,1.5,65.65,-17,519.639
TPhL,-0.88941029,20.99,2.48,4.83,1.168,5.41,1.68,21.99,18,219.35
TRP,2.06483222,19.91,8.38,11.02,1.259,1.75,1.62,34.86,8,263.476
TST,1.556664262,18.63,5.37,6.17,1.086,3.61,1.582,30.38,-16,262.418
VD2,-0.659555885,17.37,1.58,4.08,0.951,9.54,1.635,71.6,-20,457.541
VD3,0.172894698,17.14,1.88,4.43,0.945,9.96,1.619,80.01,-21,449.927
VK3,1.936312634,20.01,12.31,6.2,1.294,2.64,1.62,30.44,5,168.418
