Chemical,logS,02deltaD,03deltaP,05deltaHDon,22LogKow,60Distance,66Connolly surface area,67PSA
ABA,1.157244413,17.8,2.76,3.9,5.1,20.39,287.171,26.02
ABPhY,1.724840564,19.73,3.88,4.9,3.17,16.43,177.684,26.02
ACD,-0.112706181,20.77,4.53,0.1,3.43,15.99,178.855,12.36
AM2,1.515722692,19.72,4.89,6.5,3.18,14.43,202.338,52.04
AM3,2.050346822,19.99,7.04,10,0.27,11.52,139.477,52.04
AM4,1.621239372,20.26,6.29,4.8,3.15,14.65,170.055,50.74
AM5,0.847311254,19.91,5.21,4.4,3.96,16.11,196.777,50.74
AM6,1.986285789,19.74,9.06,7.3,1.83,14.08,147.655,77.83
ANPhT,0.353519325,19.59,1.42,0.2,4.37,18.67,161.032,0
ATC,0.568714579,20.35,1.35,0.9,4.59,17.72,183.383,0
BAH,1.806126158,18.62,6.92,0.1,2.23,17.84,209.08,43.37
BBA,2.208256726,19.99,7.32,6.2,2.94,14.77,196.51,54.37
BDC,1.407580919,20.22,8.78,9.8,2.27,12.24,293.484,74.6
BPhY,-0.052066685,18.98,2.13,0.1,3.65,20.29,165.864,0
BrAPh,0.596869995,19.34,7.85,2.4,1.93,17.3,153.675,17.07
BZL,0.962125147,19.84,8.33,0.7,2.48,17.49,198.446,34.14
BZPh,0.787078737,19.42,5.43,0.3,2.98,18.53,184.117,17.07
CAP,1.892336183,18.2,12.05,6.9,3.94,17.87,331.473,58.56
CBZ,2.139509199,20.92,8.06,8.7,1.27,15.93,219.439,46.33
CRB,0.53529665,20.66,6.15,2.9,3.45,15.56,145.352,12.03
CRC,1.322942612,20.23,7.52,8.1,0.19,11.5,334.153,96.22
CRT,0.492429548,17.74,0.83,0.1,10.48,23.18,663.674,0
DCFR,2.048023923,21.85,6.47,7.5,7.06,12.04,295.546,75.99
DDG,0.630264935,17.83,5.66,8.1,6.27,20.6,369.932,86.99
DHNA,1.232962504,20.43,4.95,10.2,2.16,11.23,156.485,40.46
DPD,0.995797879,20.45,15.67,9.6,-2.62,14.6,504.358,143.32
DtbC,0.801835668,16.47,0.86,4.2,5.36,23.38,242.093,20.23
FBP,2.131572153,18.78,4.51,6.3,4.13,16.73,226.835,37.3
FRS,2.107900622,20.41,13.95,10.6,2.26,12.66,256.677,118.72
G4,1.592648091,18.14,4.92,0.2,2.49,18.28,255.952,61.83
GBC,1.211229316,20.57,16.75,10.9,2.99,15.53,477.692,113.6
HPR,1.360997923,19.47,7.2,4,4.08,16.09,335.071,40.54
IDM,2.068151984,20.69,6.49,3.3,4.49,14.46,298.891,66.84
LCP,1.341146524,17.68,0.28,0.1,15.14,21.47,688.517,0
MeY,1.086420495,19.62,4.39,0.6,4.61,17.65,234.415,27.96
MFA,1.563369533,19.91,5.27,7.3,4.14,14.19,230.09,49.33
NAPh,0.440779496,19.7,3.06,2.7,3.34,17.47,141.691,0
NCD,1.947651117,21.69,13.42,10.2,3.81,11.53,249.684,101.14
NFQ,1.400199855,20.46,13.29,4.1,2.18,16.07,150.562,34.14
NIF,1.752447427,18.5,5.63,1.2,1.95,17.44,292.229,116.44
NMS,1.178081266,20.57,14.19,4.8,2.75,14.25,256.343,107.21
NPhL,2.002167013,20.4,5.37,6.3,2.71,12.84,148.391,20.23
NXA,1.940763518,19.69,14.25,7.3,1.32,14.36,216.454,69.97
OIV,1.506200725,21.13,4.04,3.8,8.12,16.21,361.195,61.47
oPhPh,1.017752797,19.55,4.12,5.5,3.58,15.76,171.399,20.23
PBC,2.203174784,17.84,11.61,5.8,3.09,18.01,267.915,74.68
PhAzPh,1.289138631,20.26,6.36,6.5,3.41,13.81,195.177,44.95
PhTR,-0.434374051,20.35,1.35,0.9,4.59,17.72,181.619,0
ppBPh,1.813793417,20.68,6.58,12.3,2.64,10.56,180.664,40.46
PRL,1.404345833,20.86,0.12,0.8,6.61,17.62,231.899,0
PTZ,0.575085476,20.82,7.28,4.2,4.15,14.09,180.721,12.03
PYR,0.026298297,22.28,4.64,2.6,5.05,13.95,194.228,0
QRC,1.768436214,21.02,10.6,10.7,1.03,10.04,241.44,127.45
QZB,1.832963217,21.35,10.47,9.2,5.05,11.91,282.268,66.4
QZGSS,1.032628473,21.5,8.95,6.3,6.55,13.85,369.914,58.2
RSA,2.197342922,20.43,6.61,9.2,3.68,12.15,267.334,57.53
S4,1.347832905,18.12,4.93,0.6,2.02,18.1,276.061,71.06
SUBB,2.133620762,21.92,7.35,4.6,9.63,14.29,410.77,73.5
SUI,0.615512663,20.65,3.87,5.4,4.73,14.33,229.154,44.95
SUII,1.361225654,20.79,3.5,5.3,5.34,14.49,263.084,44.95
SUIV,1.6340215,21.53,3.33,4.9,7.53,15.01,348.708,69.67
SUR,1.195004284,20.87,4.73,5.1,4.57,13.6,254.393,54.18
TBZ,0.616740496,22.11,8.56,0.1,5.46,13.86,277.888,33.62
TCPh,1.700805131,16.86,1.53,1.6,11.06,23.14,519.639,29.46
TPhL,0.899564647,20.99,2.48,0.3,5.41,16.54,219.35,0
TRP,2.028803374,19.91,8.38,4.7,1.75,12.93,263.476,104.45
TST,1.58134341,18.63,5.37,4,3.61,18.02,262.418,37.3
VD2,1.770126772,17.37,1.58,2.8,9.54,22.07,457.541,20.23
VD3,1.672104382,17.14,1.88,2.8,9.96,22.11,449.927,20.23
VK3,1.229740717,20.01,12.31,2.4,2.64,16.31,168.418,34.14
