Abbreviation,logratio,deltaD,deltaP,LogKow,RI,DHfus,RD,PSA
ABA,0.942176718,17.8,2.76,5.1,1.528,43.03,90.45,26.02
ABPhY,-0.113021439,19.73,3.88,3.17,1.624,26.3,55.31,26.02
ACD,-0.087975711,20.77,4.53,3.43,1.656,19.37,57.13,12.36
AM2,0.177489054,19.72,4.89,3.18,1.63,28.04,74.27,52.04
AM3,0.076147679,19.99,7.04,0.27,1.631,18.51,40.85,52.04
AM4,0.003161278,20.26,6.29,3.15,1.634,12.95,61.4,50.74
AM5,0.632871757,19.91,5.21,3.96,1.618,10.4,71.25,50.74
AM6,-0.057104448,19.74,9.06,1.83,1.604,18.67,43.52,77.83
ANPhT,0.500771276,19.59,1.42,4.37,1.543,22.09,44.76,0
ATC,0.81056121,20.35,1.35,4.59,1.561,23.27,54.05,0
BAH,-0.403750726,18.62,6.92,2.23,1.564,23.12,61.3,43.37
BBA,0.171867273,19.99,7.32,2.94,1.618,26.9,61.98,54.37
BDC,2.336977543,20.22,8.78,2.27,1.734,49.59,101.39,74.6
BPhY,-0.306500537,18.98,2.13,3.65,1.588,15.69,51.11,0
BrAPh,-0.782807649,19.34,7.85,1.93,1.586,14.43,44.59,17.07
BZL,0.034697484,19.84,8.33,2.48,1.612,21.8,61.43,34.14
BZPh,-1.44902359,19.42,5.43,2.98,1.601,18.75,56.26,17.07
CAP,-0.587969146,18.2,12.05,3.94,1.552,47.21,92.84,58.56
CBZ,-0.009970433,20.92,8.06,1.27,1.659,29.55,69.16,46.33
CRB,0.706111312,20.66,6.15,3.45,1.667,21.42,51.47,12.03
CRC,2.120690379,20.23,7.52,0.19,1.836,52.42,128.11,96.22
CRT,1.821185882,17.74,0.83,10.48,1.629,131.17,205.1,0
DCFR,1.048215746,21.85,6.47,7.06,1.625,22.76,92.83,75.99
DDG,2.05232943,17.83,5.66,6.27,1.549,63.64,100.5,86.99
DHNA,1.055172506,20.43,4.95,2.16,1.58,28.22,46.42,40.46
DPD,0.096582449,20.45,15.67,-2.62,1.545,51.91,120.48,143.32
DtbC,-0.391953515,16.47,0.86,5.36,1.513,19.82,73.42,20.23
FBP,0.644563663,18.78,4.51,4.13,1.564,26.35,66.98,37.3
FRS,0.360917706,20.41,13.95,2.26,1.654,45.51,75.25,118.72
G4,0.0578469,18.14,4.92,2.49,1.539,25.74,71.93,61.83
GBC,2.231281169,20.57,16.75,2.99,1.568,65.7,118.85,113.6
HPR,0.226747344,19.47,7.2,4.08,1.567,44.88,100.46,40.54
IDM,1.13330755,20.69,6.49,4.49,1.605,43.27,95.1,66.84
LCP,0.911578097,17.68,0.28,15.14,1.57,27.42,196.98,0
MeY,1.940497866,19.62,4.39,4.61,1.613,6.1,71.82,27.96
MFA,1.247904947,19.91,5.27,4.14,1.625,25.64,70.89,49.33
NAPh,0.172399601,19.7,3.06,3.34,1.63,14.42,44.49,0
NCD,1.428362892,21.69,13.42,3.81,1.653,44.4,78.09,101.14
NFQ,-0.984377272,20.46,13.29,2.18,1.639,27.94,43.16,34.14
NIF,0.72981759,18.5,5.63,1.95,1.555,35.07,90.41,116.44
NMS,0.341603644,20.57,14.19,2.75,1.636,23.93,77.82,107.21
NPhL,-0.957131585,20.4,5.37,2.71,1.654,16.67,46.34,20.23
NXA,0.321138343,19.69,14.25,1.32,1.665,31.08,63.85,69.97
OIV,1.812913356,21.13,4.04,8.12,1.6,22.35,112.27,61.47
oPhPh,-1.413385916,19.55,4.12,3.58,1.611,18.49,53.41,20.23
PBC,0.587552117,17.84,11.61,3.09,1.535,40.89,73.82,74.68
PhAzPh,-0.058327036,20.26,6.36,3.41,1.619,12.95,59.36,44.95
PhTR,0.349506935,20.35,1.35,4.59,1.561,23.27,54.05,0
ppBPh,0.065545766,20.68,6.58,2.64,1.648,29.78,56.67,40.46
PRL,1.779199006,20.86,0.12,6.61,1.595,37.25,73.49,0
PTZ,0.822242496,20.82,7.28,4.15,1.68,25.7,58.6,12.03
PYR,1.865782639,22.28,4.64,5.05,1.734,17.36,64.17,0
QRC,1.735127798,21.02,10.6,1.03,1.631,42.16,78.29,127.45
QZB,2.294156387,21.35,10.47,5.05,1.657,48.34,87.72,66.4
QZGSS,2.490878339,21.5,8.95,6.55,1.693,51.47,119.13,58.2
RSA,0.066668752,20.43,6.61,3.68,1.586,43.37,81.19,57.53
S4,-0.099812719,18.12,4.93,2.02,1.545,27.86,78.9,71.06
SUBB,3.681396315,21.92,7.35,9.63,1.619,32.77,125.11,73.5
SUI,2.600906923,20.65,3.87,4.73,1.591,21.61,72.71,44.95
SUII,3.374748346,20.79,3.5,5.34,1.65,23.1,86.23,44.95
SUIV,1.59750282,21.53,3.33,7.53,1.65,16.87,114.59,69.67
SUR,3.264345507,20.87,4.73,4.57,1.622,22.38,81.21,54.18
TBZ,1.379023021,22.11,8.56,5.46,1.684,48.8,87.6,33.62
TCPh,3.514813295,16.86,1.53,11.06,1.5,65.65,136.54,29.46
TPhL,1.882405388,20.99,2.48,5.41,1.68,21.99,73.81,0
TRP,0.033984497,19.91,8.38,1.75,1.62,34.86,80.97,104.45
TST,-0.090538392,18.63,5.37,3.61,1.582,30.38,88.66,37.3
VD2,1.968760065,17.37,1.58,9.54,1.635,71.6,149.32,20.23
VD3,1.084543869,17.14,1.88,9.96,1.619,80.01,142.69,20.23
VK3,-1.074778223,20.01,12.31,2.64,1.62,30.44,46.71,34.14
