Chemical,logratio,deltaD,deltaP,Ovality,LogKow,Ar-sp3
ABA,0.403266626,17.8,2.76,1.747,5.1,-15
ABPhY,-0.003019907,19.73,3.88,1.472,3.17,12
ACD,-1.512764922,20.77,4.53,1.385,3.43,14
AM2,0.276315108,19.72,4.89,1.667,3.18,9
AM3,-0.038251118,19.99,7.04,1.403,0.27,5
AM4,0.152177505,20.26,6.29,1.562,3.15,12
AM5,0.457410528,19.91,5.21,1.643,3.96,10
AM6,-0.402923067,19.74,9.06,1.408,1.83,5
ANPhT,-0.226613663,19.59,1.42,1.291,4.37,8
ATC,1.535419799,20.35,1.35,1.377,4.59,14
BAH,-0.096213949,18.62,6.92,1.551,2.23,12
BBA,0.011832715,19.99,7.32,1.606,2.94,12
BDC,1.278405376,20.22,8.78,1.829,2.27,11
BPhY,0.157371431,18.98,2.13,1.381,3.65,12
BrAPh,-0.793747635,19.34,7.85,1.384,1.93,5
BZL,-0.032385044,19.84,8.33,1.52,2.48,12
BZPh,-0.7809873,19.42,5.43,1.453,2.98,12
CAP,-0.085784244,18.2,12.05,1.864,3.94,-3
CBZ,-0.106084931,20.92,8.06,1.595,1.27,12
CRB,0.792379465,20.66,6.15,1.426,3.45,13
CRC,1.912476008,20.23,7.52,1.956,0.19,10
CRT,2.351780207,17.74,0.83,2.148,10.48,-18
DCFR,0.868951419,21.85,6.47,1.748,7.06,17
DDG,1.232467726,17.83,5.66,1.926,6.27,-6
DHNA,-0.131481178,20.43,4.95,1.352,2.16,10
DPD,0.261461679,20.45,15.67,2.153,-2.62,-8
DtbC,0.290157761,16.47,0.86,1.566,5.36,-3
FBP,0.318975044,18.78,4.51,1.598,4.13,10
FRS,0.189568591,20.41,13.95,1.853,2.26,10
G4,0.202109188,18.14,4.92,1.708,2.49,2
GBC,2.410593871,20.57,16.75,2.088,2.99,3
HPR,0.259096807,19.47,7.2,1.872,4.08,4
IDM,0.707172757,20.69,6.49,1.782,4.49,12
LCP,2.934365537,17.68,0.28,2.235,15.14,-14
MeY,1.314352957,19.62,4.39,1.616,4.61,10
MFA,0.873378602,19.91,5.27,1.703,4.14,10
NAPh,-2.91750551,19.7,3.06,1.302,3.34,10
NCD,1.829477944,21.69,13.42,1.724,3.81,12
NFQ,-0.672905971,20.46,13.29,1.412,2.18,6
NIF,0.614112822,18.5,5.63,1.86,1.95,1
NMS,0.495191922,20.57,14.19,1.749,2.75,11
NPhL,-0.171173267,20.4,5.37,1.367,2.71,10
NXA,-0.075738413,19.69,14.25,1.701,1.32,7
OIV,2.742806366,21.13,4.04,1.875,8.12,20
oPhPh,-0.181324388,19.55,4.12,1.45,3.58,12
PBC,0.724543406,17.84,11.61,1.773,3.09,0
PhAzPh,-0.066447737,20.26,6.36,1.544,3.41,12
PhTR,-0.030509162,20.35,1.35,1.377,4.59,14
ppBPh,0.202042252,20.68,6.58,1.527,2.64,12
PRL,2.087750564,20.86,0.12,1.463,6.61,20
PTZ,0.565780672,20.82,7.28,1.492,4.15,12
PYR,2.248451762,22.28,4.64,1.497,5.05,16
QRC,0.965774171,21.02,10.6,1.69,1.03,16
QZB,2.81058796,21.35,10.47,1.832,5.05,17
QZGSS,2.623961833,21.5,8.95,2.03,6.55,22
RSA,-0.087884271,20.43,6.61,1.66,3.68,12
S4,0.298640944,18.12,4.93,1.772,2.02,1
SUBB,3.540865531,21.92,7.35,1.967,9.63,23
SUI,2.448331483,20.65,3.87,1.574,4.73,16
SUII,3.619719266,20.79,3.5,1.705,5.34,14
SUIV,2.069091586,21.53,3.33,1.898,7.53,20
SUR,3.136403448,20.87,4.73,1.682,4.57,15
TBZ,2.253025351,22.11,8.56,1.732,5.46,14
TCPh,3.807399713,16.86,1.53,2.028,11.06,-17
TPhL,2.209556576,20.99,2.48,1.505,5.41,18
TRP,-0.132561444,19.91,8.38,1.801,1.75,8
TST,0.062115763,18.63,5.37,1.743,3.61,-16
VD2,2.563892677,17.37,1.58,1.909,9.54,-20
VD3,1.520656388,17.14,1.88,1.942,9.96,-21
VK3,-1.113556301,20.01,12.31,1.534,2.64,5
