Chemical,logratio,03deltaP,11Ovality,22LogKow,26RI,67PSA
ABA,0.477635696,2.76,1.747,5.1,1.528,26.02
ABPhY,-0.087663196,3.88,1.472,3.17,1.624,26.02
ACD,-1.651580054,4.53,1.385,3.43,1.656,12.36
AM2,0.10328087,4.89,1.667,3.18,1.63,52.04
AM3,-0.057169374,7.04,1.403,0.27,1.631,52.04
AM4,0.087000163,6.29,1.562,3.15,1.634,50.74
AM5,0.411640693,5.21,1.643,3.96,1.618,50.74
AM6,-0.117866595,9.06,1.408,1.83,1.604,77.83
ANPhT,0.37718158,1.42,1.291,4.37,1.543,0
ATC,0.651690931,1.35,1.377,4.59,1.561,0
BAH,-0.231712641,6.92,1.551,2.23,1.564,43.37
BBA,0.05833783,7.32,1.606,2.94,1.618,54.37
BDC,2.113094623,8.78,1.829,2.27,1.734,74.6
BPhY,-0.209835266,2.13,1.381,3.65,1.588,0
BrAPh,-0.48918677,7.85,1.384,1.93,1.586,17.07
BZL,-0.05238807,8.33,1.52,2.48,1.612,34.14
BZPh,-1.012165514,5.43,1.453,2.98,1.601,17.07
CAP,-0.033510314,12.05,1.864,3.94,1.552,58.56
CBZ,0.070636654,8.06,1.595,1.27,1.659,46.33
CRB,0.175079507,6.15,1.426,3.45,1.667,12.03
CRC,1.6679073,7.52,1.956,0.19,1.836,96.22
CRT,2.112269768,0.83,2.148,10.48,1.629,0
DCFR,0.994590568,6.47,1.748,7.06,1.625,75.99
DDG,0.847751787,5.66,1.926,6.27,1.549,86.99
DHNA,-0.044613104,4.95,1.352,2.16,1.58,40.46
DPD,0.095006697,15.67,2.153,-2.62,1.545,143.32
DtbC,0.138020047,0.86,1.566,5.36,1.513,20.23
FBP,0.624843127,4.51,1.598,4.13,1.564,37.3
FRS,0.313469694,13.95,1.853,2.26,1.654,118.72
G4,0.241211069,4.92,1.708,2.49,1.539,61.83
GBC,2.247332714,16.75,2.088,2.99,1.568,113.6
HPR,0.358805822,7.2,1.872,4.08,1.567,40.54
IDM,1.147071888,6.49,1.782,4.49,1.605,66.84
LCP,2.761453026,0.28,2.235,15.14,1.57,0
MeY,1.579854799,4.39,1.616,4.61,1.613,27.96
MFA,1.326825148,5.27,1.703,4.14,1.625,49.33
NAPh,0.52324619,3.06,1.302,3.34,1.63,0
NCD,1.903089987,13.42,1.724,3.81,1.653,101.14
NFQ,-0.760276041,13.29,1.412,2.18,1.639,34.14
NIF,0.471399242,5.63,1.86,1.95,1.555,116.44
NMS,0.193585939,14.19,1.749,2.75,1.636,107.21
NPhL,-0.105721963,5.37,1.367,2.71,1.654,20.23
NXA,0.271076728,14.25,1.701,1.32,1.665,69.97
OIV,2.742806366,4.04,1.875,8.12,1.6,61.47
oPhPh,-0.798638719,4.12,1.45,3.58,1.611,20.23
PBC,0.616942693,11.61,1.773,3.09,1.535,74.68
PhAzPh,-0.233822759,6.36,1.544,3.41,1.619,44.95
PhTR,-0.034035253,1.35,1.377,4.59,1.561,0
ppBPh,0.073418389,6.58,1.527,2.64,1.648,40.46
PRL,2.264441381,0.12,1.463,6.61,1.595,0
PTZ,0.313096135,7.28,1.492,4.15,1.68,12.03
PYR,1.41334066,4.64,1.497,5.05,1.734,0
QRC,1.383167406,10.6,1.69,1.03,1.631,127.45
QZB,2.750170381,10.47,1.832,5.05,1.657,66.4
QZGSS,2.570220763,8.95,2.03,6.55,1.693,58.2
RSA,0.100370545,6.61,1.66,3.68,1.586,57.53
S4,0.065973254,4.93,1.772,2.02,1.545,71.06
SUBB,3.589470864,7.35,1.967,9.63,1.619,73.5
SUI,1.795985288,3.87,1.574,4.73,1.591,44.95
SUII,3.361160995,3.5,1.705,5.34,1.65,44.95
SUIV,1.953637643,3.33,1.898,7.53,1.65,69.67
SUR,2.894039,4.73,1.682,4.57,1.622,54.18
TBZ,1.354339396,8.56,1.732,5.46,1.684,33.62
TCPh,3.700790221,1.53,2.028,11.06,1.5,29.46
TPhL,1.788957221,2.48,1.505,5.41,1.68,0
TRP,-0.035854515,8.38,1.801,1.75,1.62,104.45
TST,0.024716427,5.37,1.743,3.61,1.582,37.3
VD2,2.42967118,1.58,1.909,9.54,1.635,20.23
VD3,1.49920316,1.88,1.942,9.96,1.619,20.23
VK3,-0.706630793,12.31,1.534,2.64,1.62,34.14
